issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"This guide will walk you through the process of creating, editing, and managing Workspaces in your Claude Console organization.

Workspaces are collaborative spaces within Console organizations where teams can separate API resources by use case.

> **Note:** Only Organization Admins can create new Workspaces.

1. Log in to your [Claude Console account](https://platform.claude.com/login).
2. Navigate to the **Workspaces** section by clicking on ""Settings"" in the top level menu and selecting “Workspaces” from the left side bar ([Settings > Workspaces](https://platform.claude.com/settings/workspaces)).
3. Click the ""Add Workspace"" button near the top right of the page.
4. In the modal that appears, enter a name for your new Workspace, and select a color assignment. This color assignment will be used to help visually identify your workspace in the Claude Console.
5. Click ""Create"" to finalize the new Workspace.

Your new Workspace will now appear in the list of Workspaces.

> **Note:** You are limited to 100 workspaces per organization.

1. From the **Workspaces** list, click on the ellipsis next to the Workspace you want to edit.
2. Select “Edit details.""
3. You can modify the following settings:
  - Workspace Name
  - Color
4. After making your changes, click ""Save"" to apply them.

> **Note:** The default Workspace is not editable and cannot be removed.

> **Note:** You must add members to your Console organization by following [these instructions](https://support.claude.com/en/articles/13443764-inviting-members-to-the-claude-console) before you can add them to a Workspace.

1. Navigate to the desired Workspace's details page by clicking on it from the Workspaces list.
2. Click on the “Members” tab.
3. Click on “Add to Workspace” near the top right of the page.
4. Choose the individual you’d like to add from the list of your organization’s members.
5. Assign a Workspace role for this member.
6. Confirm your selections by clicking “Add to Workspace.""

> **Note:** Organization Admins are automatically added as Workspace Admin to every Workspace. Organization Billing role holders are automatically granted ability to see cost, usage, and limit values for all Workspaces, but can be upgraded to the Organization Admin role.

Click the trash can icon next to the member to remove them from your Workspace.

> **Note:** Organization members with Admin and Billing roles are automatically granted permissions on all Workspaces and cannot be removed from Workspaces.

1. Navigate to the desired Workspace's details page by clicking on it from the **Workspaces** list.
2. Click on the ""API Keys"" tab.
3. To create a new API key for this Workspace:
  - Click ""Create Key""
  - Give the key a descriptive name
  - Click ""Create Key""
4. To revoke an existing API key:
  - Find the key in the list
  - Click the ellipsis next to it
  - Select ""Disable API Key"" or “Delete API Key”
    - **Note:** Deleting an API key is a permanent action and cannot be undone.
  - Confirm the action

> **Note:** API keys are tied to the Workspace they're created in and cannot be moved between Workspaces.

1. Navigate to the desired Workspace's details page by clicking on it from the **Workspaces** list.
2. Click on the ""Limits"" tab.
3. Set a limit for each model tier and limit type by clicking on the pencil icon next to each option.
4. Workspace Spend Limits can be reset to the organization rate limit by clicking the “Refresh” icon next to the rate limit you previously set for the Workspace.

> **Note:** Anthropic always evaluates all applicable limiters -- at the Workspace and Organization level -- for every request. In other words, if the Workspace limits are unset, Organization limits still apply.

1. Navigate to the desired Workspace's details page by clicking on it from the **Workspaces** list.
2. Click on the ""Limits"" tab.
3. Choose one of the following:
  - Select “Change Limit” to set a specific spend limit for this Workspace.
    - **Note:** You can only set a spend limit that is lower than your organization’s limit. If unset, your spend limit defaults to the organization’s limit.
  - Select “Add notification” to set up an email notification when the Workspace spend reaches a specific amount.

1. Navigate to the [Usage or Cost Reports](https://support.claude.com/en/articles/9534590-cost-and-usage-reporting-in-the-claude-console).
2. Choose to view by an individual Workspace, or by “All Workspaces”.

If you no longer need a Workspace but want to retain its historical data:

1. Navigate to the **Workspaces** page.
2. Click the ellipsis next to the Workspace you would like to archive.
3. Confirm that you want to archive the Workspace.

> **Note:** Archiving a Workspace will archive all API keys in the Workspace. This action cannot be undone.

Every organization has a default Workspace that cannot be renamed, archived, or deleted. To view API keys associated with the default Workspace:

1. Navigate to the **Workspaces** list.
2. Click on ""Default"" in the list.

> **Note:** You can view your default Workspace’s limits from the [Limits settings](https://platform.claude.com/settings/limits).

- [Cost and Usage Reporting in the Claude Console](https://support.claude.com/en/articles/9534590-cost-and-usage-reporting-in-the-claude-console)
- [Claude Console roles and permissions](https://support.claude.com/en/articles/10186004-claude-console-roles-and-permissions)
- [Sharing Prompts in the Claude Console](https://support.claude.com/en/articles/10722177-sharing-prompts-in-the-claude-console)
- [Claude Code FAQ](https://support.claude.com/en/articles/12386420-claude-code-faq)
- [Inviting members to the Claude Console](https://support.claude.com/en/articles/13443764-inviting-members-to-the-claude-console)",api,replied,product_issue,intent=general; request_type=product_issue; escalate=False
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"In today’s candidate market, hiring teams are struggling with the disinterest candidates have in taking an assessment during the recruitment and hiring process. There are various reasons for this disinterest, including those driven by candidates, customers, or HackerRank, and we’ve tried to address most of them in this document.

Here are some best practices to mitigate the candidate drop-off at various stages of the hiring funnel.

**Best practices to mitigate test invite drop-off\
(Entry and Junior levels)**
--------------------------------------------------

- Ensure recruiters build out a detailed and exciting candidate invite [email template](https://support.hackerrank.com/hc/en-us/articles/360010817373-Creating-an-Email-Template) talking about company culture, team, interview process, and next steps.

- Ensure recruiters set clear [test instructions](https://support.hackerrank.com/hc/en-us/articles/360000109287-Modifying-Candidate-Settings-for-Tests#candidate-details) about the role and skills going to be assessed, along with the next steps in the interview process.

- Ensure candidates take the sample test to familiarize themselves with the HackerRank platform and build confidence to take the assessment. 

- Share the [Community Interview Prep Kit](https://www.hackerrank.com/interview/interview-preparation-kit) page (for additional warm-up challenges) in the email invite/test instructions.

- Set up automated [Reminder emails](https://support.hackerrank.com/hc/en-us/articles/360000195788-Modifying-Email-Settings-for-Tests#reminder-emails) through the platform. Another recommendation is to manually send out a re-invite through the platform for the ones who are yet to take the test even after the first reminder. This re-invite will trigger the second reminder email if the reminder setting is still on.

- Recommendation is to send one reminder in 2 to 3 days depending on the expiry dates of the invites.

- Avoid over-building assessments. 

- Showcase the culture in the organization at every communication stage.

  - Branding, logos, etc. 

  - Include videos in emails 

  - Test instructions 

  - Provide links to the [Candidate Support Page](https://candidatesupport.hackerrank.com/hc/en-us) to enable candidates to prepare for, take part in, or follow up on an assessment or interview, along with answers to FAQs.

  - what it's like to work at the company or testimony from an employee talking about the culture and why it’s a great place to work, etc. 

  - Information around onboarding and employee development opportunities is a nice touch.

- Include a FAQ with answers and guidelines to questions that the candidate could have before, during, or after the test (who to reach out to about accommodation, when the candidate will hear back with a response, etc.)

**Best practices to mitigate test invite and interview drop-off\
(Mid and Senior Levels)**
----------------------------------------------------------------

- Recommendation is for a recruiter to call and talk to the candidate (active or passive candidate) first and sell the company and opportunity to them.

- Outline the interview process along with familiarizing the candidate with the tools they will utilize during the interview process. Provide timelines for closing the open position and bringing them onboard.

- Consider conducting paired programming Interviews as the first round of evaluation for niche roles where dropout is high and hiring numbers are low. This motivates candidates as they get the opportunity to connect early with a Hiring Manager.

- Position the test as a Project Round/Project assignment and let the candidate know that it will be assessed and further discussed in the technical interview round.

  - You can also position the test as projects similar to what they’ll be working on at your company, so it’s a good opportunity for them to determine if this role will be a mutual fit. 

  - If your organization isn't disqualifying candidates based on their scores (which is sometimes the case for senior candidates), have the recruiter highlight this in their messaging/positioning. For example, the messaging could include: ""Please note that your performance on this assessment isn't dictated by your percentage score, but rather by your overall thought process (how you approach the question, ability to problem solve, etc.)""

- Allow the candidates time during the weekend so they get some time to work on the take-home test.

- During the recruiter call, the candidate should be informed of the format of the test (e.g. Project question, Coding) so they are aware of what to expect.

- Advisable to use framework-specific project questions and code review questions that will have better engagement from the candidate side.

- Keep to the timeline and have lines of communication open.

- Include a FAQ with answers and guidelines to questions that the candidate could have before, during, or after the test.

- If drop-off continues to be an issue, consider disabling any photo/webcam proctoring, if in use.

- Provide links to the [Candidate Support Page](https://candidatesupport.hackerrank.com/hc/en-us) to enable candidates to prepare for, take part in, or follow up on an assessment or interview, along with answers to FAQs.

- Ensure test benchmarking is done internally to finalize an appropriate test to test the right skills with hiring managers/tech council.

- Set up recurring test optimization checks with recruiter and hiring manager - check on test relevance, test difficulty levels, candidate feedback after test, performance funnel, and update test accordingly.

- Consider global abandonment rates - 6 to 9% for different roles\
  ***Test abandonment rate*** *- If a candidate submits a test within 10% of the supposed test duration time, then we consider those attempts as abandoned. For eg: if the test is for 90 minutes and the candidate submits the test under 9 minutes then his attempt would be counted as an abandoned test. Test abandonment rate is included in the test attempt rate.*

- Customize Confirmation email (post-test email going out to the candidate).

  - Include as much information on the next steps as possible, positive or negative. Set the candidate's expectations on timelines. 

- Track candidate feedback on a weekly/biweekly basis and reach out to candidates to understand their concerns.

- Share any media on what it is like to work at your company from Youtube, careers page, etc. in the confirmation email

  - Offer resources (like a link to your tech blog). This can encourage candidates to stay engaged with your organization and re-apply once their skills have been refined. 

- For mid-to-senior (low volume roles), personal phone calls to thank them for their time.

- If the candidate is going straight to an interview, e.g. niche role - the recruiter should call the candidate and book the interview on the phone versus using an automated tool.",screen,replied,product_issue,intent=billing; request_type=product_issue; escalate=False
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Escalate to a human,consumer_support,escalated,product_issue,intent=billing; request_type=product_issue; escalate=True
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"HackerRank Community offers AI-powered mock interviews that simulate real-world technical job interviews and provide immediate feedback on your performance.

Mock interviews support:

- Voice-based interaction

- Chat-based interaction

HackerRank Community offers the following AI-powered mock interview types:

- [📄 Technical Screen Mock Interview](/articles/5671120169)
- [📄 Coding Mock Interview](/articles/6795045456)
- [📄 System Design Mock Interview](/articles/8813699799)
- [📄 Behavioural Mock Interview](/articles/5174727491)
- [📄 AI Fluency Mock Interview](/articles/3796809491)

To access a mock interview:

1.  Log in to [HackerRank Community](https://www.hackerrank.com/auth/login) using your credentials.

2.  Go to the **Prepare** tab.

3.   Locate the **AI-powered Mock Interviews** section.

HackerRank Community includes the following free mock interviews:

- One **Software Engineer** mock interview under **Coding**

- One **Technical Screen** mock interview

You can take each free mock interview once. To access other mock interviews, you must purchase credits. For more information, see [](https://help.hackerrank.com/articles/3282259518) [📄 Purchase Mock Interview Credits](/articles/3282259518).",community,replied,product_issue,intent=billing; request_type=product_issue; escalate=False
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"Claude works best when you give it clear and specific instructions. When crafting your prompt, keep the following principles in mind:

- Explain your ask simply and clearly.
- Make sure that your prompt contains as much context as possible. Pretend you are giving these instructions to someone with no background knowledge about what you are asking.
- Break down complex requests into substeps.
- Give Claude feedback: you provide Claude with follow-up instructions, clarifications, or ask it to rewrite an answer.

- [Introduction to prompt design](https://support.claude.com/en/articles/7996853-introduction-to-prompt-design)
- [Claude’s response to my prompt is too brief.](https://support.claude.com/en/articles/8114518-claude-s-response-to-my-prompt-is-too-brief)
- [Claude in Chrome Permissions Guide](https://support.claude.com/en/articles/12902446-claude-in-chrome-permissions-guide)
- [Use Claude for Word](https://support.claude.com/en/articles/14465370-use-claude-for-word)
- [Give Claude context: CLAUDE.md and better prompts](https://support.claude.com/en/articles/14553240-give-claude-context-claude-md-and-better-prompts)",api,replied,product_issue,intent=billing; request_type=product_issue; escalate=False
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"The **General Data Protection Regulation** (**GDPR**) is a new EU regulation that aims to improve privacy and provide greater control to customers over their personal information and how it is used.

We have brought together a collection of frequently asked questions on the new General Data Protection Regulation (GDPR)

**What is HackerRank's role in GDPR?**

**HackerRank for Work** is a **Data Processor** as HRW processes data in the direction of customers, who are Data Controllers

**What Types of Personal Information does  HackerRank collect?**

Among the types of Personal Data that the HackerRank for Work collects, by itself or through third parties, there are Cookies, Usage Data, geographic position, email address, first name, last name, username, password, company name, and so on.

Certain data elements requested from customers could be mandatory without which it could be impossible for HackerRank to provide service to you while for non-mandatory data elements, you may choose not to provide the requested data without any consequences to the availability or the functioning of the Services.

**What is HackerRank’s privacy policy?**

We, at HackerRank, take Privacy issues seriously and want you to be familiar with things like the collection of data, data usage, disclosure of information, and so on. You can access HackerRank's detailed privacy policy over [here](https://www.hackerrank.com/privacy).

**How can I delete the data of a particular candidate?**

Follow the below steps to delete a Candidate's profile.

- Log in as a **Company Admin.**

- Access the **Candidates** Page in HackerRank. 

- Search to find the candidate.

- Click the delete option.

- On clicking the **Delete Profile **option, you will get a warning message mentioning that the deletion of the profile of any candidate is an irreversible action. Click **Yes **to continue.

- Once a candidate's profile is deleted, you get the confirmation message on the screen, mentioning the same.

**Note**: Only company admins have the access to delete a candidate's profile.

**How can I delete candidate data in bulk?**

For the deletion of candidate data in bulk, you need to raise a request to [support@hackerrank.com](mailto:support@hackerrank.com). You'll need to log in to the HackerRank platform in order to [Submit a Request](https://portal.usepylon.com/hackerrank-support/forms/customer-request-form) to our support team.

Alternatively, if you have a Customer Success Manager or Account Manager assigned to you, you may route the request through them. Once your request and the list of candidates to be deleted are received, HackerRank will anonymize the data within 14 days. You will be notified once the deletion is complete.

**Can deleted data be reinstated?**

No. Once candidate data is deleted, it cannot be reinstated.

**How can I download candidate data?**

HackerRank for Work offers three primary ways to download candidates' data.

- Download candidate data from a **Test**

- Download candidate data from a **CodePair **interview

- Download / Export **candidate timeline**

Learn more about downloading reports of candidate's **test **performance from our support articles: [Downloading PDF and Excel Test reports](https://support.hackerrank.com/hc/en-us/articles/360012776753-Downloading-PDF-and-Excel-Test-Reports) and [Viewing a Candidate's detailed Test report](https://support.hackerrank.com/articles/8263794320-viewing-a-candidate's-detailed-test-report)[.](https://support.hackerrank.com/hc/en-us/articles/360012556773-Viewing-a-Candidate-s-detailed-Test-report)

Learn more on how to download **candidate **data from a **CodePair **interview from our support article: [Viewing a CodePair report](https://support.hackerrank.com/articles/6788713830-viewing-interview-reports)[.](https://support.hackerrank.com/hc/en-us/articles/115007328727-Viewing-a-CodePair-report)

You can export or download the candidate's data following the below steps.

- Go to the **Candidates** tab inside a **Test**. 

- Click on the vertical ellipsis menu on the right side of a candidate's attempt and click on **Visit Profile.**

- From the candidate’s profile page, click on the vertical ellipsis and select option **Export Profile.**

- Once you click on **Export Profile, the **candidate's data will get downloaded in a portable format.

**Does HackerRank share candidate data with other third-party services?**

HackerRank for Work does not share or distribute customer data except as provided in the contractual agreement between HackerRank and customer or as may be required by law. For more detail on our data sharing policy please refer to our [Privacy Policy.](https://www.hackerrank.com/privacy)

**Does HackerRank maintain an audit trail of events?**

HackerRank maintains an audit trail of all user events. You can retrieve the audit logs using our [API](https://www.hackerrank.com/work/apidocs). You can also raise a request to [support@hackerrank.com](mailto:support@hackerrank.com) or submit the same using our [Support Request form](https://portal.usepylon.com/hackerrank-support/forms/customer-request-form). If you have a Customer Success Manager or Account Manager assigned to you, you can also route the request through them.

**Does HackerRank allow a candidate who took a HackerRank test, to edit or delete their personal data or test attempt?**

HackerRank for Work is a recruiting platform where recruiters conduct tests and coding challenges to hire developers. Companies or recruiters directly own the tests and HackerRank does not have any control over the same. For deletion or update of personal data or test attempts, the candidate needs to contact the company that administered the test directly.

**Can a candidate who took a HackerRank test download their test data?**

HackerRank for Work does not allow a candidate to download their test data directly. As a recruiting platform, we let companies administer coding challenges and help them with their interview process. Candidates need to contact the company that administered the test if they want to download their test data.",settings,replied,product_issue,intent=general; request_type=product_issue; escalate=False
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,Escalate to a human,skillup,escalated,bug,intent=bug; request_type=bug; escalate=True
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Weekly Challenges are short, repeatable activities that enable users to apply skills in a focused and time-efficient manner. They complement SkillUp learning paths and certifications by offering ongoing practice rather than long-form coursework.

Weekly Challenges support the following objectives:

- Provide structured opportunities for continued learning after completing badges or certifications

- Encourage consistent participation through a predictable weekly cadence

- Introduce a controlled competitive element within an organization

**Note:** A new challenge releases every week. Challenges and leaderboards reset every Tuesday at 6:00 PM UTC. 

To access the weekly challenge: 

1.  Log in to your **SkillUp** account using your credentials. 

2.  Locate the weekly challenge banner on the right side of the homepage.

The banner displays the remaining time to attempt the challenge, along with the current and previous week leaderboards.

Each weekly challenge includes a leaderboard that ranks participants within the same organization.

Leaderboards allow users to:

- Compare their submissions with peers

- Learn from top-performing solutions

- Track progress across multiple challenges

**Note:** Users can view the previous week’s challenge and winning submissions to learn from them.

Weekly Challenges use token efficiency to evaluate submissions.

*Total score = Input tokens (prompt) + Output tokens (generated code)*

- Lower scores rank higher

- If scores tie, earlier submissions rank higher

- Each user can submit once per weekly challenge

HackerRank currently offers the Weekly Prompt Engineering Challenge.

The Weekly Prompt Engineering Challenge helps users improve their ability to write effective prompts for large language models (LLMs).

Prompting is a critical skill in modern development workflows. Developers interact with LLMs, agents, and AI-assisted development tools through prompts. Inefficient prompting increases cost by consuming unnecessary tokens or requiring repeated attempts.

This challenge reinforces the importance of clear, precise prompts for generating efficient and accurate results.

To attempt the weekly Prompt Engineering challenge: 

1.  Click **Start Challenge** in the weekly Prompt Engineering challenge banner.

2.  Read the instructions, then click **Done**.

3.  Review the high-level problem statement.

4.  Write a single prompt in the **Prompt** field that instructs the LLM to generate the solution.

5.  Click **Generate Code**.

6.  Review the generated code and ensure that all test cases pass.

7.  Click **Submit.**

8.  In the confirmation dialog, click **Yes, Submit**.

**Note: **

- You can submit the challenge only after all test cases pass.

- If the test cases fail, edit the prompt and regenerate the code.",skillup,replied,product_issue,intent=assessment; request_type=product_issue; escalate=False
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Escalate to a human,integrations,escalated,bug,intent=bug; request_type=bug; escalate=True
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"In today’s candidate market, hiring teams are struggling with the disinterest candidates have in taking an assessment during the recruitment and hiring process. There are various reasons for this disinterest, including those driven by candidates, customers, or HackerRank, and we’ve tried to address most of them in this document.

Here are some best practices to mitigate the candidate drop-off at various stages of the hiring funnel.

**Best practices to mitigate test invite drop-off\
(Entry and Junior levels)**
--------------------------------------------------

- Ensure recruiters build out a detailed and exciting candidate invite [email template](https://support.hackerrank.com/hc/en-us/articles/360010817373-Creating-an-Email-Template) talking about company culture, team, interview process, and next steps.

- Ensure recruiters set clear [test instructions](https://support.hackerrank.com/hc/en-us/articles/360000109287-Modifying-Candidate-Settings-for-Tests#candidate-details) about the role and skills going to be assessed, along with the next steps in the interview process.

- Ensure candidates take the sample test to familiarize themselves with the HackerRank platform and build confidence to take the assessment. 

- Share the [Community Interview Prep Kit](https://www.hackerrank.com/interview/interview-preparation-kit) page (for additional warm-up challenges) in the email invite/test instructions.

- Set up automated [Reminder emails](https://support.hackerrank.com/hc/en-us/articles/360000195788-Modifying-Email-Settings-for-Tests#reminder-emails) through the platform. Another recommendation is to manually send out a re-invite through the platform for the ones who are yet to take the test even after the first reminder. This re-invite will trigger the second reminder email if the reminder setting is still on.

- Recommendation is to send one reminder in 2 to 3 days depending on the expiry dates of the invites.

- Avoid over-building assessments. 

- Showcase the culture in the organization at every communication stage.

  - Branding, logos, etc. 

  - Include videos in emails 

  - Test instructions 

  - Provide links to the [Candidate Support Page](https://candidatesupport.hackerrank.com/hc/en-us) to enable candidates to prepare for, take part in, or follow up on an assessment or interview, along with answers to FAQs.

  - what it's like to work at the company or testimony from an employee talking about the culture and why it’s a great place to work, etc. 

  - Information around onboarding and employee development opportunities is a nice touch.

- Include a FAQ with answers and guidelines to questions that the candidate could have before, during, or after the test (who to reach out to about accommodation, when the candidate will hear back with a response, etc.)

**Best practices to mitigate test invite and interview drop-off\
(Mid and Senior Levels)**
----------------------------------------------------------------

- Recommendation is for a recruiter to call and talk to the candidate (active or passive candidate) first and sell the company and opportunity to them.

- Outline the interview process along with familiarizing the candidate with the tools they will utilize during the interview process. Provide timelines for closing the open position and bringing them onboard.

- Consider conducting paired programming Interviews as the first round of evaluation for niche roles where dropout is high and hiring numbers are low. This motivates candidates as they get the opportunity to connect early with a Hiring Manager.

- Position the test as a Project Round/Project assignment and let the candidate know that it will be assessed and further discussed in the technical interview round.

  - You can also position the test as projects similar to what they’ll be working on at your company, so it’s a good opportunity for them to determine if this role will be a mutual fit. 

  - If your organization isn't disqualifying candidates based on their scores (which is sometimes the case for senior candidates), have the recruiter highlight this in their messaging/positioning. For example, the messaging could include: ""Please note that your performance on this assessment isn't dictated by your percentage score, but rather by your overall thought process (how you approach the question, ability to problem solve, etc.)""

- Allow the candidates time during the weekend so they get some time to work on the take-home test.

- During the recruiter call, the candidate should be informed of the format of the test (e.g. Project question, Coding) so they are aware of what to expect.

- Advisable to use framework-specific project questions and code review questions that will have better engagement from the candidate side.

- Keep to the timeline and have lines of communication open.

- Include a FAQ with answers and guidelines to questions that the candidate could have before, during, or after the test.

- If drop-off continues to be an issue, consider disabling any photo/webcam proctoring, if in use.

- Provide links to the [Candidate Support Page](https://candidatesupport.hackerrank.com/hc/en-us) to enable candidates to prepare for, take part in, or follow up on an assessment or interview, along with answers to FAQs.

- Ensure test benchmarking is done internally to finalize an appropriate test to test the right skills with hiring managers/tech council.

- Set up recurring test optimization checks with recruiter and hiring manager - check on test relevance, test difficulty levels, candidate feedback after test, performance funnel, and update test accordingly.

- Consider global abandonment rates - 6 to 9% for different roles\
  ***Test abandonment rate*** *- If a candidate submits a test within 10% of the supposed test duration time, then we consider those attempts as abandoned. For eg: if the test is for 90 minutes and the candidate submits the test under 9 minutes then his attempt would be counted as an abandoned test. Test abandonment rate is included in the test attempt rate.*

- Customize Confirmation email (post-test email going out to the candidate).

  - Include as much information on the next steps as possible, positive or negative. Set the candidate's expectations on timelines. 

- Track candidate feedback on a weekly/biweekly basis and reach out to candidates to understand their concerns.

- Share any media on what it is like to work at your company from Youtube, careers page, etc. in the confirmation email

  - Offer resources (like a link to your tech blog). This can encourage candidates to stay engaged with your organization and re-apply once their skills have been refined. 

- For mid-to-senior (low volume roles), personal phone calls to thank them for their time.

- If the candidate is going straight to an interview, e.g. niche role - the recruiter should call the candidate and book the interview on the phone versus using an automated tool.",screen,replied,product_issue,intent=assessment; request_type=product_issue; escalate=False
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"Did you know that you can use a single interview link for doing multiple interviews with the candidate? Many users are already using it and it has saved a lot of time.

*Here is how :*

Scheduling HackerRank interviews with candidates and multiple interviewers using a single interview link has helped recruiters save a big chunk of their time. The single interview link has also resulted in a better candidate experience as they can remain in the same link throughout the onsite interview process instead of juggling multiple links for each interview.\

With multiple interviews happening using a single link, it becomes essential to ensure that the participants inside the interview are not disturbed by the sudden appearance of others. With this in mind, we have introduced the concept of the **virtual lobby** for HackerRank interviews. 

The virtual lobby will not be enabled for your account by default. If you want to enable virtual lobby for your interviews, go to the interview settings page and tick the check box Enable Virtual Lobby.

*Enabling Virtual Lobby*

The candidate’s lobby is a virtual waiting room for candidates to wait before entering the interview. Inside the lobby, candidates will get the real-time status of all participants in the interview. This is how the lobby looks to a candidate.

*HackerRank's Lobby*

As an interviewer, you will get notified when a candidate enters the lobby. Click on the **Admit** button to allow candidates inside the interview.

*Admitting a Candidate*

You can also move the candidate to the lobby whenever you want without ending the interview. You can do this by clicking on the down arrow beside the candidate's name and then clicking on the **Move **button.

*Moving a candidate to the Lobby*

Also, candidates are automatically pushed back to the lobby when all the interviewers leave the interview. 

*Moving to lobby*

**Tip: **With the candidate lobby, you can set up your interview questions ahead of the interview time and not worry about the questions being leaked to the candidate before the interview.

With multiple interviewers accessing the same link for an interview, there are chances of interviewers or recruiters abruptly entering the interview while it is already in progress. Such situations can be awkward and create discomfort for the participants of the current interview. 

We have introduced the Interviewer Lobby to prevent such scenarios and provide a great interview experience.

The interviewer lobby is a virtual waiting room where interviewers can wait when another interview is in progress or join the same interview. When in the interviewer lobby, interviewers and recruiters can also get an idea of the real-time status of all participants in the interview.

*Interviewer lobby*

When multiple interviewers access an interview using the same link, there are high chances of one interviewer abruptly ending the interview when the interview is still going on with the candidate and other interviewers. To avoid such unwanted situations, Interviewers can use the Leave Interview option and leave the interview without disturbing others. Otherwise, they can also use the ""End Interview for all"" feature that will end the session for all the participants present inside the interview. The interview session will remain running and will not end unless an interviewer performs this action.

Both the options are available under the ""Leave"" dropdown in the top right corner inside the Interview as shown in the image below.

*Leave / End Interview*",interviews,replied,product_issue,intent=assessment; request_type=product_issue; escalate=False
"it’s not working, help",Help needed,None,Escalate to a human,community,escalated,bug,intent=bug; request_type=bug; escalate=True
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"HackerRank integrates with Google Calendar to facilitate an easy and seamless remote interviewing experience.

As a part of this workflow, users can install the HackerRank calendar add-on and use it to schedule remote technical interviews directly from the Google Calendar app. This results in a hassle-free interview scheduling experience saving you a lot of time and effort.

**Prerequisite**

You need to install the HackerRank Interviews add-on from the [G Suite Marketplace](https://gsuite.google.com/marketplace/app/hackerrank_interview/386396436142). Once the add-on is installed, follow the below steps to use this add-on to schedule remote technical interviews from your Google Calendar app.

**Steps**

1\. Open Google Calendar and enter participant information.

 2. Choose **HackerRank Interview** from the video conferencing options.

3\. Once you select HackerRank Interview, it will ask you to log in to your HackerRank for Work account. Once you complete the login process you will be able to use the HackerRank for Interviews addon in Google Calendar to conduct remote interviews. (This is a one-time setup. Once logged in, you do not need to repeat this step for scheduling future interviews.)

4\. Click **Save**. Once it is saved you can see the event in your calendar.  

You will be able to view the details of this interview in your HackerRank account as well. Any interview link that is created from the Google Calendar add-on will show up on your HackerRank Interviews page, as shown in the below image.

If you are part of an organization that manages your Google Workspace, your system administrator will have to install the add-on. They can do it for you or for the whole team. Please reach out to them to install it. Once they add it to your Calendar, you will be able to use the add-in.

To schedule interviews using the calendar add-on, you need access to HackerRank Interview. You need to have a Recruiter or Interviewer role inside HackerRank to have access to our remote-first interviewing solution.

You can use any other conferencing platform in the same invite as HackerRank Interview. For Google Calendar, you can use another app’s add-on first, copy the joining information that shows up in the description, then use the HackerRank Interview add-on.

When you use HackerRank Interview as the last add-on, joining information for the other add-on will be available in the meeting description.

When you generate a HackerRank Interview link through any calendar add-ons, we just synchronize the details about who generated the interview and a timestamp for when it was generated.

You can add or remove attendees prior to the interview and still be able to use the same link.

Whenever an interviewer logs in, we will record their name and update the Interview with their details. This will also happen for multiple interviewers.

Anyone who joins the interview and logs in as a candidate will be used in the candidate details.

When you generate a HackerRank Interview link through any calendar add-ons, we just synchronize the details about who generated the interview and a timestamp for when it was generated.

You can add or remove attendees prior to the interview and still be able to use the same link.

Whenever a candidate logs in, we will record their name and update the Interview with their details. Similar will happen for the interviewer's information.

We have made this integration lightweight and enabled all of the scheduling through your calendar app. The timing and scheduling information will directly be available in your calendar event.

This way you can reschedule your event as required and still use the same HackerRank Interview link!

When you log into the Interview session as an interviewer, you will see an “Import” option on the left that includes questions from the HackerRank test taken by the candidate.

If you do not see the questions from candidates test even if they have taken a test:

- Check if the candidate has used the same email to log in to the Interview as they used for the test.

- If the candidate logged in to the session after the Interviewer, you can just refresh the page and you will be able to pull in the questions.",integrations,replied,product_issue,intent=general; request_type=product_issue; escalate=False
